JT_KFFD_630_01_0100001_1DCSOPC_AI02154,JT_KFFD_630_01_0601212_1DCSOPC_AI01064,JT_KFFD_630_01_0603201_1DCSOPC_AI01116,JT_KFFD_630_01_0603202_1DCSOPC_AI01143,JT_KFFD_630_01_0603203_1DCSOPC_AI01144,JT_KFFD_630_01_0603205_1DCSOPC_AI01131,JT_KFFD_630_01_0603207_1DCSOPC_AI01141,JT_KFFD_630_01_0603209_1DCSOPC_AI01126,JT_KFFD_630_01_0603235_1DCSOPC_AI01129
311.923,18.87039,340.9478,1.254997,1.390305,57.99625,52.43326,55.61462,61.20758
312.6134,19.13333,340.4961,1.259384,1.419754,58.01108,52.42993,55.62781,61.02783
312.7505,19.00818,341.083,1.259995,1.405373,58.00269,52.42007,55.61658,61.11058
313.5728,18.90781,341.011,1.279541,1.424751,57.99661,52.40991,55.6171,61.16547
314.7647,18.54922,342.9489,1.28006,1.384659,58.00403,52.40994,55.61334,61.63871
313.5728,18.59427,341.6061,1.279411,1.414719,57.99451,52.41507,55.60962,61.28082
311.4215,18.54291,343.7157,1.283817,1.429787,57.98581,52.40778,55.60083,61.6951
313.743,18.45471,343.3609,1.254997,1.385307,58.00894,52.40475,55.60297,61.60322
315.3352,18.64287,343.1129,1.279411,1.405029,58.00754,52.41556,55.61224,61.32355
314.7647,18.98381,343.3089,1.264381,1.4254,57.98865,52.42899,55.59839,61.45144
314.7647,19.19827,342.4268,1.29509,1.429056,57.9837,52.42422,55.62521,61.41096
315.724,19.44913,343.2961,1.254349,1.410046,57.99249,52.427,55.60184,61.72485
315.4842,19.57587,343.9178,1.254349,1.4254,57.97122,52.42773,55.61722,61.63177
315.4842,19.63828,341.2895,1.254997,1.404724,57.97937,52.42426,55.60736,61.03058
316.0157,19.90475,341.7943,1.244354,1.384659,57.98999,52.43884,55.60934,61.13078
317.868,20.02985,341.4438,1.284447,1.398097,57.96155,52.44272,55.61066,61.54349
316.4362,19.90613,340.6067,1.29509,1.424751,57.98108,52.43723,55.60831,61.40594
314.611,19.88049,341.0176,1.254349,1.384659,57.98697,52.44778,55.60825,61.44932
